filename,label
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\english_setter_74.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Sphynx_30.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\newfoundland_133.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0854.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1162.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Siamese_237.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\basset_hound_84.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0933.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\leonberger_16.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0830.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\chihuahua_16.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\japanese_chin_69.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\pomeranian_82.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1063.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0857.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0750.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1156.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\great_pyrenees_78.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\basset_hound_17.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0865.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\newfoundland_129.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\scottish_terrier_69.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1145.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\chihuahua_44.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0811.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0834.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\British_Shorthair_88.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Birman_149.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\beagle_166.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0937.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\scottish_terrier_97.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\wheaten_terrier_9.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1073.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\boxer_71.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\samoyed_125.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\japanese_chin_41.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Egyptian_Mau_51.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\basset_hound_12.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0866.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1091.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\american_bulldog_34.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\basset_hound_66.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0850.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0791.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0748.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0861.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0843.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Sphynx_78.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\american_bulldog_166.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0893.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Ragdoll_258.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\havanese_191.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0941.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Maine_Coon_197.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1088.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\British_Shorthair_3.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1023.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\pug_72.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Ragdoll_202.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\miniature_pinscher_98.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\staffordshire_bull_terrier_179.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Maine_Coon_249.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\shiba_inu_7.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1069.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\basset_hound_118.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1146.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1041.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Maine_Coon_219.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\great_pyrenees_34.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0881.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\havanese_187.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0826.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Ragdoll_107.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Maine_Coon_206.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0981.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1077.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0817.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\wheaten_terrier_102.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0953.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\keeshond_175.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0782.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1128.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0799.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\Bombay_181.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0841.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1137.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\great_pyrenees_160.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\samoyed_50.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0819.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0886.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\samoyed_27.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_0914.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\pomeranian_48.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1082.jpg,1
C:\Users\unarv\OneDrive\Documents\data_cat\not-mayo\miniature_pinscher_183.jpg,0
C:\Users\unarv\OneDrive\Documents\data_cat\mayo_formatted\IMG_1153.jpg,1
